review_id,stars,date,title,text,source,product,version,vote_count
14089385407,1,2026-05-21,WORST UPDATE EVER,HORRIBLE update!!! Omg I can’t see the arrival times at my favorited stations anymore. HORRIBLE and so hard to navigate now!!!! BRING BACK FAVORITED STATIONS IMMEDIATELY. What is the point of seeing random stations on my favorited lines ??? Who cares what the J is doing when I need the A times at broadway junction??? HORRIBLE !!!!!!!,app_store,MTA,4.10.0,0
14088801999,1,2026-05-21,Delay Feature IS TERRIBLE,"Delay Alerts are showed prominently in the app. However, once they are resolved and service is normal again, the update is HIDDEN. I have revised entire travel plans due to this issue.  Please bring back the old app, it didnt suck. Location features are still garbage. Not being able to see my starred stations simply doesnt work. I dont care about knowing my geographical area, i care about making transfers on time.",app_store,MTA,4.10.0,0
14088261310,1,2026-05-20,Another fail from the MTA,"Not that anyone should be surprised, every new change from these people is a  cluster of ineptitude. Status page is messy, cluttered - I want to only see the line I’m interested in, not the rest of the group. I actually use multiple transit options so removing commuter rail makes this app half as useful as before, well done, maybe try talking to an actual commuter next time.",app_store,MTA,4.10.0,0
14087054076,1,2026-05-20,LET ME SEE MY FAVORITES,"This was a fantastic app and I deeply appreciate the effort to update and modernize it. But it’s completely destroyed the usability. Why can I not access my favorites? I don’t want to see the nearby lines, I want to see the lines I have saved to quick access, and the ability to see a list of other subway lines or to search for other bus lines. What if I’m trying to plan my trip and I’m not currently located near a train I will need to take? What then MTA? Please please please I’m begging you restore the functionality of the app. It’s useless right now and it’s very very frustrating.",app_store,MTA,4.10.0,0
14085726019,1,2026-05-20,Update is HORRIBLE,The new version is extremely inaccurate and has negatively impacted my commute to and from work tremendously. Buses come nowhere near the times they are supposed to based on the app and sometimes the app doesn’t acknowledge certain buses altogether. They absolutely need to do better. Actually embarrassing.,app_store,MTA,4.9.0,0
14083543833,2,2026-05-19,Useless,Designed and built by amateurs,app_store,MTA,4.9.0,0
14083345687,1,2026-05-19,Why take away directions in favorite stations??,"In the old app, you could “favorite” a station in one direction only. I live in Clinton Hill between the G and C trains. To go to work my favorites were C toward Manhattan and G towards Queens. Not only can you not favorite directions in this new app, but my two trains I can take to work are opposite in my favorites so I constantly have to “swap” back and forth to see the times of the 2 trains I can take. This has made me late TWICE now forgetting that I was accidentally looking at a Brooklyn bound C train and not Manhattan since I’m so used to having my set up this way. Why take this feature away? I don’t see anything better about this new app.",app_store,MTA,4.9.0,1
14083067660,1,2026-05-19,“update”,"I really liked the ability to plan a trip using a combination of Long Island Railroad and the MTA. Alas, some bright mind decided to eliminate that integration making this app completely useless for me.",app_store,MTA,4.9.0,0
14080967773,1,2026-05-18,Commuter,The app was better before. This update was a bad look.,app_store,MTA,4.9.0,0
14078892114,1,2026-05-18,Can’t see g train,There’s a bug where you can’t see g train arrivals or departures in bed stuy. The nearest train arrivals it shows is Fulton A/c stops,app_store,MTA,4.9.0,0
14078339964,5,2026-05-18,Dramatically improved,"Very impressed with the latest update - ignore someone’s sarcastic review that says you can’t customize locations you want to see - not at all true, you can favorite lines and stations across the system - it only defaults to nearby (which makes sense!) Seems MTA got themselves some UX expertise — the experience is so much more intuitive and efficient to use — and they appear to have some new dev energy too because updates and refresh are more responsive. This app is excellent — incredibly useful. Accurate.",app_store,MTA,4.9.0,1
14078187423,1,2026-05-18,Got rid of any ability to quickly see your stops,Before I could favorite my stops and check how far the bus was in 2 taps. Not I have to manually find the stop on the map to check. Incredibly annoying when trying to see if you’ll make the bus at the next stop,app_store,MTA,4.9.0,0
14078023824,2,2026-05-18,Worse than before,"The train times are not accurate. The updated format is worse than before. I can’t favorite a line, station and direction. I have to click to many things to get to what I need to know. The format also sucks because I can’t just look at a line and a station to plan my trip. It only will show me what is close to me. The updates are also not accurate. If I need to look at the website, what is the point of this app??",app_store,MTA,4.9.0,0
14076958081,1,2026-05-17,This new app needs tongo back to the drawing board.,"I have been using this app since the update, and it’s very disorienting. It doesn’t provide real-time information and always leaves you searching for transit updates. Please bring back the older version, which was much better and probably cost the MTA less money as well.",app_store,MTA,4.9.0,0
