average_speed,borough,day_type,month,period,route_id,total_mileage,total_operating_time,trip_type
6.94,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B43,7630650.0,1100107.0,LCL/LTD
7.3,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B44,67045669.2,9184595.0,LCL/LTD
6.06,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B44,20344222.8,3358872.0,LCL/LTD
8.18,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B44,34840209.6,4261708.0,LCL/LTD
7.46,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B44,11363558.4,1524152.0,LCL/LTD
9.13,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B44+,84666240,9276368.0,SBS
8.54,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B44+,47818022.4,5599491.0,SBS
9.86,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B44+,33024963.6,3348038.0,SBS
9.89,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B44+,15744060,1592007.0,SBS
6.23,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B45,26468672.4,4250455.0,LCL/LTD
5.51,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B45,12311924.4,2235214.0,LCL/LTD
7.16,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B45,11619507.6,1622854.0,LCL/LTD
6.8,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B45,5055994.8,743269.0,LCL/LTD
7.56,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B46,160127071.2,21180651,LCL/LTD
6.75,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B46,83681791.2,12396469,LCL/LTD
7.98,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B46,82580446.8,10342891,LCL/LTD
7.76,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B46,34246825.2,4415311.0,LCL/LTD
7.43,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B47,51658592.4,6955638.0,LCL/LTD
6.4,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B47,23888365.2,3730020.0,LCL/LTD
8.14,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B47,27965703.6,3434065.0,LCL/LTD
7.73,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B47,10097946,1306520.0,LCL/LTD
7.17,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B48,25362331.2,3535870.0,LCL/LTD
5.97,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B48,10850400,1818127.0,LCL/LTD
8.1,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B48,13569494.4,1675018.0,LCL/LTD
7.55,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B48,4975502.4,659047.0,LCL/LTD
8.04,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B49,68137912.8,8477748.0,LCL/LTD
7.03,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B49,28764986.4,4090496.0,LCL/LTD
8.66,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B49,23291636.4,2689345.0,LCL/LTD
8.16,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B49,9451015.2,1158530.0,LCL/LTD
